id	geneSymbol	geneCoordinate
ENSG00000022840	RNF10	chr12:120971083-121015597
ENSG00000022976	ZNF839	chr14:102783514-102809244
ENSG00000023191	RNH1	chr11:494312-507500
ENSG00000023228	NDUFS1	chr2:206979341-207024527
ENSG00000023287	RB1CC1	chr8:53534816-53658603
ENSG00000023318	ERP44	chr9:102741261-102861522
ENSG00000023516	AKAP11	chr13:42846089-42897596
ENSG00000024048	UBR2	chr6:42531600-42661442
ENSG00000025039	RRAGD	chr6:90074155-90122189
ENSG00000025708	TYMP	chr22:50963981-50968685
ENSG00000025796	SEC63	chr6:108188760-108279593
ENSG00000026025	VIM	chr10:17270058-17279792
ENSG00000026036	RTEL1-TNFRSF6B	chr20:62290453-62330237
ENSG00000026508	CD44	chr11:35160217-35254149
ENSG00000026652	AGPAT4	chr6:161550811-161695293
ENSG00000027075	PRKCH	chr14:61654077-62017894
ENSG00000027697	IFNGR1	chr6:137518421-137540786
ENSG00000027847	B4GALT7	chr5:177026901-177037548
ENSG00000028116	VRK2	chr2:58134586-58387255
ENSG00000028528	SNX1	chr15:64386122-64438489
ENSG00000028839	TBPL1	chr6:134273108-134311770
ENSG00000029363	BCLAF1	chr6:136577801-136611189
ENSG00000029725	RABEP1	chr17:5185358-5289329
ENSG00000030304	MUSK	chr9:113430851-113564059
ENSG00000031698	SARS	chr1:109756340-109780991
ENSG00000032219	ARID4A	chr14:58764903-58840805
ENSG00000032444	PNPLA6	chr19:7598690-7626850
ENSG00000033100	CHPF2	chr7:150929375-150936108
ENSG00000033170	FUT8	chr14:65877110-66211039
ENSG00000033327	GAB2	chr11:77926143-78129594
ENSG00000034510	TMSB10	chr2:85132549-85133995
ENSG00000034677	RNF19A	chr8:101269088-101348646
ENSG00000034971	MYOC	chr1:171604357-171622023
ENSG00000035403	VCL	chr10:75757672-75880118
ENSG00000035681	NSMAF	chr8:59495863-59572603
ENSG00000035862	TIMP2	chr17:76848859-76921669
ENSG00000038219	BOD1L1	chr4:13570162-13629547
ENSG00000038382	TRIO	chr5:14143611-14532435
ENSG00000038427	VCAN	chr5:82767084-82878322
ENSG00000038945	MSR1	chr8:15965187-16425199
ENSG00000039123	SKIV2L2	chr5:54603388-54721609
ENSG00000039319	ZFYVE16	chr5:79703632-79775369
ENSG00000039523	FAM65A	chr16:67552121-67580891
ENSG00000040199	PHLPP2	chr16:71671538-71758804
ENSG00000040531	CTNS	chr17:3539562-3565036
ENSG00000040933	INPP4A	chr2:99061117-99211053
ENSG00000042062	FAM65C	chr20:49202445-49308265
ENSG00000042781	USH2A	chr1:215796036-216596938
ENSG00000044090	CUL7	chr6:43005155-43021883
ENSG00000044115	CTNNA1	chr5:137946456-138270923
ENSG00000044446	PHKA2	chrX:18910218-19002916
ENSG00000044574	HSPA5	chr9:127996932-128003809
ENSG00000046653	GPM6B	chrX:13788950-13956957
ENSG00000047315	POLR2B	chr4:57843688-57897534
ENSG00000047410	TPR	chr1:186280584-186345025
ENSG00000047457	CP	chr3:148879997-148940042
ENSG00000047849	MAP4	chr3:47891982-48130969
ENSG00000048052	HDAC9	chr7:18126372-19042239
ENSG00000048162	NOP16	chr5:175810749-175816176
ENSG00000048342	CC2D2A	chr4:15471289-15603380
ENSG00000048540	LMO3	chr12:16701107-16763728
ENSG00000048649	RSF1	chr11:77370841-77532263
ENSG00000048707	VPS13D	chr1:12289924-12572299
ENSG00000048828	FAM120A	chr9:96213804-96328597
ENSG00000049283	EPN3	chr17:48609704-48621311
ENSG00000049449	RCN1	chr11:31833739-32127501
ENSG00000049618	ARID1B	chr6:157098863-157532113
ENSG00000049759	NEDD4L	chr18:55711399-56068972
ENSG00000049860	HEXB	chr5:73935648-74018672
ENSG00000050165	DKK3	chr11:11984453-12031516
ENSG00000050344	NFE2L3	chr7:26191660-26226945
ENSG00000050405	LIMA1	chr12:50569371-50677529
ENSG00000050820	BCAR1	chr16:75262728-75302151
ENSG00000051108	HERPUD1	chr16:56965760-56977998
ENSG00000051523	CYBA	chr16:88709491-88717760
ENSG00000051620	HEBP2	chr6:138724468-138743534
ENSG00000052126	PLEKHA5	chr12:19282448-19529534
ENSG00000053254	FOXN3	chr14:89591015-90085693
ENSG00000053438	NNAT	chr20:36149417-36152292
ENSG00000053702	NRIP2	chr12:2934314-2944910
ENSG00000054118	THRAP3	chr1:36689817-36771158
ENSG00000054148	PHPT1	chr9:139742976-139745688
ENSG00000054267	ARID4B	chr1:235294749-235491734
ENSG00000054282	SDCCAG8	chr1:243419120-243663594
ENSG00000054523	KIF1B	chr1:10270663-10441861
ENSG00000054598	FOXC1	chr6:1610481-1614327
ENSG00000054654	SYNE2	chr14:64319483-64693365
ENSG00000054690	PLEKHH1	chr14:67999818-68056529
ENSG00000054965	FAM168A	chr11:73111332-73309434
ENSG00000055163	CYFIP2	chr5:156692889-156822806
ENSG00000055211	GINM1	chr6:149887230-149913084
ENSG00000055332	EIF2AK2	chr2:37326153-37384408
ENSG00000055609	KMT2C	chr7:151831810-152133290
ENSG00000056097	ZFR	chr5:32354256-32445067
ENSG00000056736	IL17RB	chr3:53880407-53900027
ENSG00000056972	TRAF3IP2	chr6:111877457-111927681
ENSG00000057019	DCBLD2	chr3:98514585-98620733
ENSG00000057608	GDI2	chr10:5806986-5884295
ENSG00000058063	ATP11B	chr3:182511088-182639623
ENSG00000058262	SEC61A1	chr3:127770284-127790726
ENSG00000058272	PPP1R12A	chr12:80167143-80329440
ENSG00000058600	POLR3E	chr16:22308530-22346624
ENSG00000058668	ATP2B4	chr1:203595489-203713409
ENSG00000058673	ZC3H11A	chr1:203764582-203823452
ENSG00000059145	UNKL	chr16:1413006-1464952
ENSG00000059728	MXD1	chr2:70124620-70170277
ENSG00000059915	PSD	chr10:104162176-104181496
ENSG00000060138	YBX3	chr12:10851483-10876111
ENSG00000060237	WNK1	chr12:861559-1020818
ENSG00000060339	CCAR1	chr10:70480569-70552334
ENSG00000060491	OGFR	chr20:61435987-61445552
ENSG00000060982	BCAT1	chr12:24964095-25102593
ENSG00000061273	HDAC7	chr12:48176305-48227115
ENSG00000061656	SPAG4	chr20:34203614-34209171
ENSG00000061676	NCKAP1	chr2:183773643-183903786
ENSG00000062038	CDH3	chr16:68669892-68756719
ENSG00000062194	GPBP1	chr5:56469575-56560706
ENSG00000062485	CS	chr12:56665283-56694376
ENSG00000062650	WAPAL	chr10:88194813-88281772
ENSG00000063015	SEZ6	chr17:27281719-27333658
ENSG00000063046	EIF4B	chr12:53399742-53436193
ENSG00000063176	SPHK2	chr19:49122348-49134174
ENSG00000063177	RPL18	chr19:49118385-49122993
ENSG00000063244	U2AF2	chr19:56165312-56186281
ENSG00000063660	GPC1	chr2:241374888-241407693
ENSG00000063854	HAGH	chr16:1845421-1877395
ENSG00000064012	CASP8	chr2:202097966-202152634
ENSG00000064042	LIMCH1	chr4:41361424-41702261
ENSG00000064393	HIPK2	chr7:139246116-139477777
ENSG00000064601	CTSA	chr20:44518583-44527659
ENSG00000064651	SLC12A2	chr5:127419258-127525580
ENSG00000064703	DDX20	chr1:112297667-112310838
ENSG00000064726	BTBD1	chr15:83684974-83736306
ENSG00000064763	FAR2	chr12:29301836-29494113
ENSG00000064886	CHI3L2	chr1:111743193-111786262
ENSG00000064932	SBNO2	chr19:1107436-1174482
ENSG00000064989	CALCRL	chr2:188207656-188313387
ENSG00000064995	TAF11	chr6:34845355-34856066
ENSG00000065000	AP3D1	chr19:2100788-2164664
ENSG00000065029	ZNF76	chr6:35226486-35263962
ENSG00000065054	SLC9A3R2	chr16:2075157-2089227
ENSG00000065060	UHRF1BP1	chr6:34759657-34851115
ENSG00000065308	TRAM2	chr6:52362000-52441913
ENSG00000065320	NTN1	chr17:8924659-9147517
ENSG00000065357	DGKA	chr12:56320903-56348011
ENSG00000065427	KARS	chr16:75661422-75682741
ENSG00000065526	SPEN	chr1:16174159-16267155
ENSG00000065534	MYLK	chr3:123328696-123603378
ENSG00000065548	ZC3H15	chr2:187350683-187374290
ENSG00000065613	SLK	chr10:105726759-105789191
ENSG00000065621	GSTO2	chr10:106028431-106064903
ENSG00000065665	SEC61A2	chr10:12171436-12212160
ENSG00000065883	CDK13	chr7:39989436-40136933
ENSG00000065911	MTHFD2	chr2:74425489-74444892
ENSG00000065970	FOXJ2	chr12:8185099-8208299
ENSG00000065978	YBX1	chr1:43147898-43168220
ENSG00000066230	SLC9A3	chr5:473225-524647
ENSG00000066405	CLDN18	chr3:137717377-137752694
ENSG00000066654	THUMPD1	chr16:20744786-20753606
ENSG00000066777	ARFGEF1	chr8:68085547-68256112
ENSG00000066855	MTFR1	chr8:66556769-66683696
ENSG00000066923	STAG3	chr7:99774986-99819311
ENSG00000066933	MYO9A	chr15:72114432-72411118
ENSG00000067057	PFKP	chr10:3108325-3180104
ENSG00000067064	IDI1	chr10:1085648-1095310
ENSG00000067066	SP100	chr2:231280457-231409005
ENSG00000067167	TRAM1	chr8:71485477-71520822
ENSG00000067182	TNFRSF1A	chr12:6437723-6451480
ENSG00000067225	PKM	chr15:72491170-72524364
ENSG00000067334	DNTTIP2	chr1:94333173-94345674
ENSG00000067369	TP53BP1	chr15:43699207-43803126
ENSG00000067560	RHOA	chr3:49396378-49450631
ENSG00000067715	SYT1	chr12:79257573-79845988
ENSG00000067798	NAV3	chr12:78224485-78606990
ENSG00000067955	CBFB	chr16:67062819-67135161
ENSG00000068028	RASSF1	chr3:50367019-50378611
ENSG00000068305	MEF2A	chr15:100017170-100256871
ENSG00000068366	ACSL4	chrX:108867273-108976832
ENSG00000068793	CYFIP1	chr15:22891805-23006216
ENSG00000068912	ERLEC1	chr2:54013981-54046156
ENSG00000069020	MAST4	chr5:65891976-66465623
ENSG00000069275	NUCKS1	chr1:205681747-205719604
ENSG00000069345	DNAJA2	chr16:46989099-47007899
ENSG00000069667	RORA	chr15:60780283-61521718
ENSG00000069702	TGFBR3	chr1:92145702-92372092
ENSG00000069712	KIAA1107	chr1:92632342-92650480
ENSG00000069943	PIGB	chr15:55610958-55648046
ENSG00000069956	MAPK6	chr15:52244103-52358662
ENSG00000070010	UFD1L	chr22:19437233-19466938
ENSG00000070019	GUCY2C	chr12:14765376-14849719
ENSG00000070047	PHRF1	chr11:576286-612422
ENSG00000070087	PFN2	chr3:149682491-149768775
ENSG00000070182	SPTB	chr14:65212802-65346801
ENSG00000070193	FGF10	chr5:44303446-44390008
ENSG00000070214	SLC44A1	chr9:108006703-108201652
ENSG00000070366	SMG6	chr17:1962933-2207265
ENSG00000070367	EXOC5	chr14:57670318-57735926
ENSG00000070404	FSTL3	chr19:676192-683585
ENSG00000070495	JMJD6	chr17:74708719-74723066
ENSG00000070540	WIPI1	chr17:66416889-66453854
ENSG00000070610	GBA2	chr9:35736663-35750183
ENSG00000070731	ST6GALNAC2	chr17:74559592-74583238
ENSG00000070759	TESK2	chr1:45809355-45957072
ENSG00000070770	CSNK2A2	chr16:58191611-58232024
ENSG00000070814	TCOF1	chr5:149737002-149780071
ENSG00000070831	CDC42	chr1:22378920-22419637
ENSG00000070961	ATP2B1	chr12:89981628-90103277
ENSG00000071054	MAP4K4	chr2:102313112-102511349
ENSG00000071082	RPL31	chr2:101617977-101640694
ENSG00000071127	WDR1	chr4:10075763-10118773
ENSG00000071189	SNX13	chr7:17830185-17980324
ENSG00000071246	VASH1	chr14:77228332-77249554
ENSG00000071462	WBSCR22	chr7:73097155-73119691
ENSG00000071537	SEL1L	chr14:81937693-82000405
ENSG00000071575	TRIB2	chr2:12856815-12883060
ENSG00000071626	DAZAP1	chr19:1407368-1435919
ENSG00000071794	HLTF	chr3:148747714-148804541
ENSG00000071889	FAM3A	chrX:153733150-153744766
ENSG00000071894	CPSF1	chr8:145618244-145634953
ENSG00000071967	CYBRD1	chr2:172378557-172414843
ENSG00000071991	CDH19	chr18:64168120-64271575
ENSG00000071994	PDCD2	chr6:170884183-170893980
ENSG00000072041	SLC6A15	chr12:85253292-85307594
ENSG00000072042	RDH11	chr14:68143318-68162731
ENSG00000072071	LPHN1	chr19:14260550-14317199
ENSG00000072110	ACTN1	chr14:69340660-69446357
ENSG00000072134	EPN2	chr17:19118728-19240228
ENSG00000072135	PTPN18	chr2:131113380-131133182
ENSG00000072201	LNX1	chr4:54325268-54567772
ENSG00000072210	ALDH3A2	chr17:19551249-19581111
ENSG00000072310	SREBF1	chr17:17713513-17740525
ENSG00000072315	TRPC5	chrX:111017343-111326204
ENSG00000072364	AFF4	chr5:132210871-132299526
ENSG00000072415	MPP5	chr14:67707626-67802736
ENSG00000072756	TRNT1	chr3:3168400-3192763
ENSG00000072778	ACADVL	chr17:7120244-7128792
ENSG00000072818	ACAP1	chr17:7239648-7254997
ENSG00000072832	CRMP1	chr4:5749611-5894985
ENSG00000072858	SIDT1	chr3:113250943-113348625
ENSG00000072864	NDE1	chr16:15736924-15820410
ENSG00000073584	SMARCE1	chr17:38781014-38804960
ENSG00000073614	KDM5A	chr12:389095-498820
ENSG00000073711	PPP2R3A	chr3:135684315-135866933
ENSG00000073712	FERMT2	chr14:53323786-53419353
ENSG00000073803	MAP3K13	chr3:185000529-185207085
ENSG00000073921	PICALM	chr11:85668527-85781124
ENSG00000074201	CLNS1A	chr11:77225781-77349050
ENSG00000074410	CA12	chr15:63613377-63674560
ENSG00000074590	NUAK1	chr12:106456918-106534011
ENSG00000074621	SLC24A1	chr15:65903504-65953533
ENSG00000074695	LMAN1	chr18:56994855-57027394
ENSG00000074696	PTPLAD1	chr15:65822556-65870887
ENSG00000074800	ENO1	chr1:8920861-8939508
ENSG00000074803	SLC12A1	chr15:48483661-48596475
ENSG00000075073	TACR2	chr10:71163459-71176823
ENSG00000075223	SEMA3C	chr7:80371654-80551875
ENSG00000075239	ACAT1	chr11:107992043-108018703
ENSG00000075292	ZNF638	chr2:71503491-71662399
ENSG00000075391	RASAL2	chr1:178062664-178448844
ENSG00000075420	FNDC3B	chr3:171757218-172119655
ENSG00000075426	FOSL2	chr2:28615115-28640379
ENSG00000075539	FRYL	chr4:48499178-48782539
ENSG00000075624	ACTB	chr7:5566582-5603615
ENSG00000075711	DLG1	chr3:196769231-197026371
ENSG00000075790	BCAP29	chr7:107220222-107269815
ENSG00000075856	SART3	chr12:108916157-108955376
ENSG00000075975	MKRN2	chr3:12598313-12625412
ENSG00000076053	RBM7	chr11:114270552-114285125
ENSG00000076108	BAZ2A	chr12:56989180-57030800
ENSG00000076201	PTPN23	chr3:47422301-47455131
ENSG00000076242	MLH1	chr3:37034623-37107580
ENSG00000076344	RGS11	chr16:318100-326180
ENSG00000076351	SLC46A1	chr17:26721461-26734415
ENSG00000076513	ANKRD13A	chr12:110436791-110477768
ENSG00000076662	ICAM3	chr19:10444252-10450699
ENSG00000076706	MCAM	chr11:119179041-119192431
ENSG00000076770	MBNL3	chrX:131503145-131624196
ENSG00000077092	RARB	chr3:25215623-25639623
ENSG00000077097	TOP2B	chr3:25639275-25706598
ENSG00000077147	TM9SF3	chr10:98277666-98347409
ENSG00000077157	PPP1R12B	chr1:202317627-202562034
ENSG00000077232	DNAJC10	chr2:183580799-183659391
ENSG00000077235	GTF3C1	chr16:27470676-27561434
ENSG00000077380	DYNC1I2	chr2:172543719-172605130
ENSG00000077616	NAALAD2	chr11:89864483-89926262
ENSG00000077684	JADE1	chr4:129730579-129796579
ENSG00000077721	UBE2A	chrX:118708301-118718581
ENSG00000077782	FGFR1	chr8:38268456-38326552
ENSG00000077942	FBLN1	chr22:45897918-45997215
ENSG00000078369	GNB1	chr1:1716529-1822695
ENSG00000078487	ZCWPW1	chr7:99998249-100026815
ENSG00000078618	NRD1	chr1:52254663-52344677
ENSG00000078674	PCM1	chr8:17780149-17885678
ENSG00000078687	TNRC6C	chr17:76000049-76105116
ENSG00000078699	CBFA2T2	chr20:32077681-32238042
ENSG00000078747	ITCH	chr20:32950841-33099398
ENSG00000078795	PKD2L2	chr5:137223457-137278636
ENSG00000078814	MYH7B	chr20:33563006-33590440
ENSG00000078900	TP73	chr1:3568884-3652965
ENSG00000078967	UBE2D4	chr7:43965837-43995935
ENSG00000079246	XRCC5	chr2:216971987-217071226
ENSG00000079308	TNS1	chr2:218664312-218867918
ENSG00000079332	SAR1A	chr10:71906845-71930479
ENSG00000079337	RAPGEF3	chr12:48128255-48165023
ENSG00000079385	CEACAM1	chr19:43011256-43065586
ENSG00000079435	LIPE	chr19:42905459-42931778
ENSG00000079459	FDFT1	chr8:11652882-11697018
ENSG00000079616	KIF22	chr16:29801840-29816906
ENSG00000079805	DNM2	chr19:10828555-10944364
ENSG00000079819	EPB41L2	chr6:131160287-131384662
ENSG00000079950	STX7	chr6:132766806-132834537
ENSG00000080166	DCT	chr13:95089358-95132136
ENSG00000080345	RIF1	chr2:152266197-152364727
ENSG00000080371	RAB21	chr12:72148454-72184899
ENSG00000080503	SMARCA2	chr9:2015142-2193824
ENSG00000080546	SESN1	chr6:109307440-109416222
ENSG00000080644	CHRNA3	chr15:78885194-78913837
ENSG00000080824	HSP90AA1	chr14:102546875-102606236
ENSG00000080845	DLGAP4	chr20:34894058-35157240
ENSG00000080947	CROCCP3	chr1:16793731-16825952
ENSG00000081026	MAGI3	chr1:113933171-114228745
ENSG00000081052	COL4A4	chr2:227867227-228029029
ENSG00000081059	TCF7	chr5:133450202-133487756
ENSG00000081087	OSTM1	chr6:108362413-108487258
ENSG00000081148	IMPG2	chr3:100941190-101039604
ENSG00000081154	PCNP	chr3:101292739-101313481
ENSG00000081181	ARG2	chr14:68086315-68118637
ENSG00000081189	MEF2C	chr5:88013775-88200122
ENSG00000081237	PTPRC	chr1:198607601-198726745
ENSG00000081307	UBA5	chr3:132373090-132397141
ENSG00000081320	STK17B	chr2:196998090-197041427
ENSG00000081377	CDC14B	chr9:99252323-99382312
ENSG00000081386	ZNF510	chr9:99517947-99540611
ENSG00000081479	LRP2	chr2:169983419-170219395
ENSG00000081665	ZNF506	chr19:19896448-19932760
ENSG00000081692	JMJD4	chr1:227917926-227923312
ENSG00000081923	ATP8B1	chr18:55313458-55470533
ENSG00000082014	SMARCD3	chr7:150935650-150975182
ENSG00000082146	STRADB	chr2:202252381-202345769
ENSG00000082175	PGR	chr11:100900155-101001455
ENSG00000082397	EPB41L3	chr18:5392183-5630899
ENSG00000082458	DLG3	chrX:69664511-69725537
ENSG00000082641	NFE2L1	chr17:46125491-46139049
ENSG00000082805	ERC1	chr12:1099475-1605299
ENSG00000082898	XPO1	chr2:61704784-61765961
ENSG00000082996	RNF13	chr3:149530295-149680126
ENSG00000083067	TRPM3	chr9:73143779-74062020
ENSG00000083097	DOPEY1	chr6:83777185-83881269
ENSG00000083099	LYRM2	chr6:90277663-90348672
ENSG00000083168	KAT6A	chr8:41786797-41909708
ENSG00000083223	ZCCHC6	chr9:88902448-88969569
ENSG00000083312	TNPO1	chr5:72111939-72212760
ENSG00000083799	CYLD	chr16:50775761-50836046
ENSG00000083807	SLC27A5	chr19:58990679-59023980
ENSG00000083812	ZNF324	chr19:58978223-58985145
ENSG00000083814	ZNF671	chr19:58230919-58239192
ENSG00000083838	ZNF446	chr19:58985184-58992797
ENSG00000083857	FAT1	chr4:187508737-187648076
ENSG00000083896	YTHDC1	chr4:69175905-69216007
ENSG00000084090	STARD7	chr2:96850397-96874763
ENSG00000084112	SSH1	chr12:109176266-109251566
ENSG00000084234	APLP2	chr11:129939532-130014899
ENSG00000084623	EIF3I	chr1:32687329-32697405
ENSG00000084636	COL16A1	chr1:32117648-32170120
ENSG00000084652	TXLNA	chr1:32645087-32664086
ENSG00000084693	AGBL5	chr2:27265032-27293690
ENSG00000084710	EFR3B	chr2:25264799-25378443
ENSG00000084754	HADHA	chr2:26413304-26467794
ENSG00000085063	CD59	chr11:33719607-33758191
ENSG00000085224	ATRX	chrX:76760156-77041902
ENSG00000085274	MYNN	chr3:169490419-169507704
ENSG00000085365	SCAMP1	chr5:77656139-77776762
ENSG00000085449	WDFY1	chr2:224720233-224810304
ENSG00000085644	ZNF213	chr16:3179578-3193006
ENSG00000085719	CPNE3	chr8:87496859-87573926
ENSG00000085733	CTTN	chr11:70244310-70282890
ENSG00000085788	DDHD2	chr8:38082536-38133276
ENSG00000085832	EPS15	chr1:51819735-51985200
ENSG00000086015	MAST2	chr1:46252459-46501996
ENSG00000086061	DNAJA1	chr9:33025009-33040105
ENSG00000086062	B4GALT1	chr9:33103880-33167554
ENSG00000086189	DIMT1	chr5:61682881-61699966
ENSG00000086232	EIF2AK1	chr7:6061681-6099061
ENSG00000086300	SNX10	chr7:26331341-26414149
ENSG00000086570	FAT2	chr5:150883454-150948705
ENSG00000086598	TMED2	chr12:124068878-124083316
ENSG00000086619	ERO1LB	chr1:236378655-236445519
ENSG00000086712	TXLNG	chrX:16804350-16862842
ENSG00000086730	LAT2	chr7:73613782-73644361
ENSG00000086758	HUWE1	chrX:53558857-53713873
ENSG00000087053	MTMR2	chr11:95565846-95658679
ENSG00000087074	PPP1R15A	chr19:49375449-49379514
ENSG00000087086	FTL	chr19:49468358-49470335
ENSG00000087087	SRRT	chr7:100472533-100486485
ENSG00000087191	PSMC5	chr17:61904312-61909579
ENSG00000087245	MMP2	chr16:55423412-55540803
ENSG00000087263	OGFOD1	chr16:56485202-56513212
ENSG00000087269	NOP14	chr4:2939460-2965312
ENSG00000087274	ADD1	chr4:2845384-2932003
ENSG00000087302	C14orf166	chr14:52455993-52471620
ENSG00000087303	NID2	chr14:52471321-52535912
ENSG00000087365	SF3B2	chr11:65818000-65836979
ENSG00000087460	GNAS	chr20:57414573-57486447
ENSG00000087470	DNM1L	chr12:32831934-32898686
